nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas,Motivo
"Sra. Virginia Ontiveros Velasco",,2,sra.141@wass.ceele,,,"+56 9 9520 2956",3710,,Vacaciones,536640,,-1104000,6,"Campo vacio"
"Sra. Agustín Quezada Sisneros",14309495,2,Sra.sisneros@outluc.ceele,Sra.sisneros,ejXdZc6Nuqz,"+56 9 1372 9158",772,63069,"Cena de Trabajo",536644,2025-12-24,546000,6,"Mail Invalido!"
,22255490,0,sta.207@viajesanma.ceele,,,"+56 2 8393 3626",5686,,"Salida con Familia",536657,,546000,3,"Campo vacio"
"Sta. Maricarmen Ruelas Oquendo",22255490,0,sta.207@viajesanma.ceele,Sta.oquendo,4bSEoOaRlc3U2,"+56 2 8393 3626",5686,65853,"Salida con Familia",536665,2025-01-31,-537000,3,"Mail Invalido!"
"Sta. Maricarmen Ruelas Oquendo",22.255.490,0,sta.207@@viajesanma.com,Sta.oquendo,4bSEoOaRlc3U2,"+56 2 8393 3626",5686,65853,"Salida con Familia",536673,2025-01-20,528000,3,"Mail Invalido!"
"Sta. Claudio Arce Arredondo",19480008,8,Sta.arredondo@marmol.ceele,sta.2363,XumkGrCrVdh8mv8,"+56 2 9800 4546",8103,66826,Vacaciones,536683,2025-03-28,576000,6,"Mail Invalido!"
"José Eduardo Moreno Jasso",19.349.064,6,josOo5274@tourket.ceele,josé427,odVC9kWw,"+56 9 0698 0454",2573,65433,"Salida con Amigos",536687,2025-07-07,-1140000,10,"Mail Invalido!"
"Alfonso Ruelas Marrero",726132,,alruma@outluc.com,alfonso8643,C5nNYEeur,"+56 9 9590 1529",3455,65925,,,2025-01-19,,,"Campo vacio"
"Alfonso Ruelas Marrero",726132,2,alruma@outluc.ceele,alfonso8643,C5nNYEeur,"+56 9 9590 1529",3455,65925,"Salida con Amigos",536707,2025/01/03,344000,8,"Mail Invalido!"
"Isabel Olivera Delarosa",1298756,0,isolde@@outluc.com,isabel1202,sEMIcmsZ4yUcQ5,"+56 9 0048 2005",9837,69324,"Salida con Familia",536729,2025-07-16,369000,3,"Mail Invalido!"
"Sara Muñiz Cepeda",29253492,2,Saracepeda@@tourket.com,sara3986,N1zDJYj4GwwN,"+56 9 1696 1535",1928,61835,Aniversario,536759,2025/01/02,680000,8,"Mail Invalido!"
"Clemente Ledesma Arroyo",20010113,8,cllear@@tourket.com,Clementearroyo,bv94adhTTH,"+56 2 9630 2628",8183,63802,"Salida con Amigos",536783,2025/09/15,99000,1,"Mail Invalido!"
"Carmen Guardado Uribe",21927241,3,carmen9329@@outluc.com,carmen5903,6aHsD8yovdRiPP,"+56 2 0948 5174",6282,70429,Vacaciones,536826,2025-06-06,2331000,9,"Mail Invalido!"
,,,carmen9329@outluc.com,carmen5903,6aHsD8yovdRiPP,"+56 2 0948 5174",6282,70429,Vacaciones,,2025-08-16,,9,"Campo vacio"
"Julio César Benítez Arevalo",8381240,0,jucOobear@wass.ceele,julio8726,a6CceSA4WFcAdO,+56-2-9731-4931,146,68858,"Cena de Trabajo",536832,2026-01-25,1192000,8,"Mail Invalido!"
"Leticia Menchaca Villalobos",14290412,8,leticia3424@tourket.ceele,Leticiavillalobos,H5MiT7beu,"+56 2 8596 0541",8585,61442,"Salida con Familia",536845,2025-12-07,2608000,8,"Mail Invalido!"
,,8,,marta1649,w7Il7JnlO,+56-9-3411-5455,735,66712,Aniversario,,,532000,2,"Campo vacio"
,,4,julio9256@marmol.com,,RPfjDPOik0,+56-2-5781-3053,,64867,"Salida con Familia",,2025-02-13,1370000,10,"Campo vacio"
"Julio Alaniz Alemán",12308087,4,julio9256@marmol.ceele,jualal,RPfjDPOik0,"+56 2 5781 3053",7700,64867,"Salida con Familia",536858,2025-04-01,-870000,10,"Mail Invalido!"
,,7,adpaba@tourket.ceele,,WjEsSC5eTE6cZr3f,"+56 2 3238 0637",,63131,Aniversario,536859,2025-03-31,700000,,"Campo vacio"
,16.185.754,,sra.6894@tourket.com,,,"+56 2 4989 6204",3904,62357,"Cena de Trabajo",536891,,195000,1,"Campo vacio"
"Sra. Sonia Ulibarri Benítez",16185754,8,sra.6894@tourket.ceele,sra.4110,dumPZh8UH,"+56 2 4989 6204",3904,62357,"Cena de Trabajo",536896,2025-02-23,46000,1,"Mail Invalido!"
"Mariano Tejada Guardado",15.045.648,7,mategu@tourket.ceele,mariano6951,h06cRjISx8Lf,"+56 2 4516 5533",2239,62314,"Salida con Amigos",536897,2025-09-24,-112000,8,"Mail Invalido!"
"Mariano Tejada Guardado",15.045.648,7,mategu@tourket.ceele,mariano6951,h06cRjISx8Lf,"+56 2 4516 5533",2239,62314,"Salida con Amigos",536913,2025-05-04,320000,8,"Mail Invalido!"
"Rubén Mesa Alcala",17685893,1,RubOonalcala@edubus.ceele,Rubénalcala,QHl3k1IKj,"+56 9 1699 5488",2455,65185,Aniversario,536914,2025-02-07,987000,7,"Mail Invalido!"
"Timoteo de Jesús Zambrano",6054370,4,tidejeza@tourket.ceele,timoteo6493,n1O0kS28,"+56 2 9445 1043",6422,66468,"Salida con Amigos",536918,2025-01-08,965000,5,"Mail Invalido!"
,3773089,0,Sta.vallejo@tourket.com,,z5yk0z9z1hAO,"+56 2 5778 1583",1328,,Vacaciones,,2025-03-30,,9,"Campo vacio"
"Arturo Guajardo Calderón",22690539,1,arturo6055@@edubus.cal,arguca,D7TWrVLprJ2sDYo,"+56 9 9687 5914",7683,71869,"Salida con Amigos",536954,2026-03-13,136000,1,"Mail Invalido!"
"Sta. Arturo Armendáriz Roldán",12035272,5,sta.2557@tourket.ceele,stararro,B16Okxipa1lkFK,"+56 9 9564 4374",6877,62071,"Salida con Amigos",536960,2025/07/26,1072000,8,"Mail Invalido!"
"Raquel Ávalos Quiñones",519626,4,raOevqu@@wass.com,Raquelquiñones,GiPx9fWm,"+56 9 5573 9886",778,69485,Aniversario,536975,2025-09-09,1554000,7,"Mail Invalido!"
"Guillermina Briseño Rivera",28676759,1,,gubrri,,+56-9-8696-1042,1745,65032,,,,1496000,8,"Campo vacio"
"César Centeno Iglesias",27072823,5,cOoceig@viajesanma.ceele,Césariglesias,6isrYLrKF5kQ,"+56 9 1725 0360",166,71831,"Salida con Amigos",537001,2026-02-10,368000,8,"Mail Invalido!"
"Sra. Margarita Duran Heredia",16720064,8,sra.8173@@tourket.com,srmaduhe,Bgy1yNeJnCUoY,"+56 2 7492 7002",2270,66257,Aniversario,537026,2025-03-28,440000,8,"Mail Invalido!"
,24728263,7,guadalupe8182@wass.com,Guadalupemontalvo,,,6774,68163,,537034,2025/12/10,-651000,,"Campo vacio"
"Manuela Solano Lara",22593423,,masola@@outluc.com,masola,,,4030,69836,Vacaciones,537061,,-1200000,,"Campo vacio"
"Javier Almaraz Granado",11.667.546,3,jaalgr@@edubus.cal,Javiergranado,9vyQyMh6bJx,"+56 2 5661 7834",3010,65195,Vacaciones,537086,2025-01-31,51000,1,"Mail Invalido!"
"Clemente Solís Barragán",6.467.234,7,clsoba@@marmol.com,clsoba,9tsIeJC5I,"+56 2 8684 1629",8283,67003,Aniversario,537129,2025-10-08,1935000,9,"Mail Invalido!"
"Hernán Orosco Zaragoza",22808213,9,HernOenzaragoza@edubus.ceele,hernán2176,tvlQXzhbEH3U,+56-2-1240-1629,5080,64263,"Cena de Trabajo",537130,2025-03-12,380000,2,"Mail Invalido!"
"Sr. Armando Solorzano Laboy",16641052,5,Sr.laboy@outluc.ceele,srarsola,2TAlLqhR,"+56 9 8695 8424",6548,70089,"Salida con Amigos",537145,2025-03-14,1215000,9,"Mail Invalido!"
"Sta. Gabriela Gómez Verduzco",12.175.942,0,stgagOIve@@marmol.com,sta.8399,xH7cEcCM,"+56 9 7377 0506",901,68106,"Cena de Trabajo",537163,2025-02-06,1281000,7,"Mail Invalido!"
,15718729,5,,enolfr,blUQYFfaJ3w8Uf5,,3489,,"Cena de Trabajo",537187,,865000,5,"Campo vacio"
"Cecilia Garay Prado",12.592.052,7,cegapr@outluc.ceele,Ceciliaprado,1va3Jn0B,"+56 9 7329 2773",9545,61645,"Salida con Amigos",537201,2025-01-08,106000,2,"Mail Invalido!"
"Gerardo Verduzco Rosario",4798925,6,gerardo7473@edubus.ceele,gerardo9328,FcGo8VVyb,+56-9-2242-2058,246,69800,"Cena de Trabajo",537210,2025-03-04,501000,3,"Mail Invalido!"
"Gregorio Navarrete Lomeli",18.280.298,0,grnalo@@edubus.cal,Gregoriolomeli,YJZzx84C,"+56 9 3662 8276",3952,72036,"Cena de Trabajo",537218,2025-05-15,639000,3,"Mail Invalido!"
"Julia Espino Alcaraz",11.419.501,4,juesal@@outluc.com,Juliaalcaraz,IqzMJLz9A3,"+56 9 5170 8011",7269,70190,Vacaciones,537229,2025-10-04,510000,10,"Mail Invalido!"
"Isabel Vera Gallegos",24094590,8,isabel7371@wass.ceele,isabel6287,aTlyxuXS6ltIv,"+56 9 0925 7519",2878,67582,"Salida con Amigos",537248,2025-05-10,444000,6,"Mail Invalido!"
"Rosalia Saiz Granado",23583229,,rosagr@marmol.ceele,Rosaliagranado,,,,71412,"Salida con Familia",537258,,549000,9,"Campo vacio"
,23583229,1,,Rosaliagranado,,"+56 9 9641 7393",2866,71412,"Salida con Familia",,2025-06-15,126000,,"Campo vacio"
"Andrea Peres Chacón",4788841,7,andrea957@outluc.ceele,Andreachacón,9NWnQatBL,"+56 9 4270 5539",3429,61757,Aniversario,537281,2025-02-05,1390000,5,"Mail Invalido!"
"Rosa Solorio Garibay",3653194,0,rosoga@outluc.ceele,Rosagaribay,oomZYGMc0I,"+56 2 4787 0203",1796,71975,"Cena de Trabajo",537293,2025-02-02,783000,9,"Mail Invalido!"
"Rosa Solorio Garibay",3653194,0,rosoga@outluc.ceele,Rosagaribay,oomZYGMc0I,"+56 2 4787 0203",1796,71975,"Cena de Trabajo",537294,2025-02-08,1494000,9,"Mail Invalido!"
"Alfonso Villanueva Franco",15664443,9,Alfonsofranco@@wass.com,alfonso9000,NjrfJM0hfF2JHvcz,"+56 9 7783 8226",5239,62800,"Salida con Familia",537318,2025-11-15,396000,2,"Mail Invalido!"
"Alfonso Arroyo Torres",20773326,,Alfonsotorres@marmol.com,Alfonsotorres,jCq4QJ0AqtVZ,,4407,,Vacaciones,,2025-01-03,58000,,"Campo vacio"
"Alfonso Arroyo Torres",20773326,1,Alfonsotorres@@marmol.com,Alfonsotorres,jCq4QJ0AqtVZ,"+56 2 5808 6338",4407,71326,Vacaciones,537326,2025-03-21,297000,1,"Mail Invalido!"
"Gabriel Abrego Madera",23443772,0,gabriel4227@outluc.ceele,Gabrielmadera,NxVlil4kvNRHMz,+56-9-8544-8387,6951,62390,"Salida con Familia",537342,2026-01-09,256000,1,"Mail Invalido!"
"Rodrigo Cardenas Ledesma",10230124,2,rocale@outluc.ceele,rocale,YziFEp7tXNXm1v7q,"+56 2 2564 4944",3317,62846,Vacaciones,537364,2025-11-16,1182000,6,"Mail Invalido!"
"César Véliz Segura",14187404,7,cOovOose@@viajesanma.com,Césarsegura,bt40vzK5bn2p,"+56 2 2634 7040",299,66120,"Salida con Amigos",537373,2025-01-04,1570000,10,"Mail Invalido!"
"Marcela Palomo Ceja",23847616,0,mapace@marmol.ceele,Marcelaceja,wPJUzQ2tlii,"+56 9 0730 0316",4400,68964,"Cena de Trabajo",537379,2025-04-12,1130000,10,"Mail Invalido!"
"Carlota Carbajal Sánchez",2510328,9,CarlotasOenchez@outluc.ceele,carlota7746,mtPJHa7Cy,"+56 9 2352 2408",4371,69937,Vacaciones,537414,2025-10-20,1710000,10,"Mail Invalido!"
"Gonzalo Aparicio Uribe",29620169,3,goapur@wass.ceele,Gonzalouribe,jOCaoCoVw4gJdd,"+56 2 7227 5003",7062,66721,"Salida con Familia",537434,2026-03-09,328000,2,"Mail Invalido!"
"Gonzalo Aparicio Uribe",29620169,3,goapur@wass.ceele,Gonzalouribe,jOCaoCoVw4gJdd,"+56 2 7227 5003",7062,66721,"Salida con Familia",537435,2025-03-27,402000,2,"Mail Invalido!"
"Virginia Barela Anaya",11393245,7,virginia7821@@marmol.com,Virginiaanaya,Zyl5s358mahqrynH,"+56 2 1031 3564",6095,64200,"Cena de Trabajo",537444,2025/11/07,94000,1,"Mail Invalido!"
"Rosario Sáenz Bueno",28.490.788,4,Rosariobueno@edubus.ceele,rosario9687,KtD4i3UDSDps1,"+56 9 5947 0198",9206,63171,Aniversario,537447,2025-09-25,572000,2,"Mail Invalido!"
"Mayte Segura Marín",6.910.093,7,masema@viajesanma.ceele,masema,qv6X43xbLr0MP,"+56 2 4981 8142",9135,62411,"Salida con Amigos",537452,2025-02-08,-72000,4,"Mail Invalido!"
"Julia Gollum Arce",25308594,0,jugoar@edubus.ceele,julia1131,VcThh2F6e4REuTMf,"+56 2 6005 7673",4278,66216,"Salida con Familia",537456,2025-02-21,-1208000,8,"Mail Invalido!"
"Jerónimo Ledesma Romero",,9,jelero@viajesanma.com,,t1ZZKuUEO5huvk,"+56 2 3581 3300",847,64458,Vacaciones,,,-380000,,"Campo vacio"
"Jerónimo Ledesma Romero",23004234,9,jelero@@viajesanma.com,jelero,t1ZZKuUEO5huvk,"+56 2 3581 3300",847,64458,Vacaciones,537501,2025-05-13,725000,5,"Mail Invalido!"
"Antonia Negrete Cervántez",15781000,6,AntoniacervOentez@wass.ceele,annece,OwN3Iu8rXWoF,+56-9-2545-9420,9386,66202,"Salida con Amigos",537520,2025/01/03,945000,9,"Mail Invalido!"
,28480255,1,,pablo332,JPdGv06bdQOAT,"+56 2 7413 6036",617,64519,,,2025-09-08,,9,"Campo vacio"
,9.856.294,,sara7287@wass.com,sagaul,KgTizDOI6Baok5H2,,939,,Vacaciones,537601,2025-06-20,,2,"Campo vacio"
"Josefina Alcala Mojica",20.202.088,7,Josefinamojica@tourket.ceele,joalmo,oeKe4g6M,+56-2-7771-1003,6749,66079,Vacaciones,537609,2025-06-13,-1098000,6,"Mail Invalido!"
"Gregorio Alemán Alaniz",24848863,8,gregorio7125@outluc.ceele,gregorio3725,A1mbJroUwHUo,"+56 2 1983 8702",6916,68298,Aniversario,537633,2025/02/20,552000,6,"Mail Invalido!"
"Sra. Gabriel Pulido Polanco",24929323,7,sra.9093@marmol.ceele,srgapupo,ZovMmKKnTM5E4dB,"+56 2 8998 3571",6875,72094,"Salida con Amigos",537634,2025-04-06,374000,2,"Mail Invalido!"
"Sra. Gabriel Pulido Polanco",24929323,7,sra.9093@marmol.ceele,srgapupo,ZovMmKKnTM5E4dB,"+56 2 8998 3571",6875,72094,"Salida con Amigos",537638,2026-05-12,550000,2,"Mail Invalido!"
"Sra. Gabriel Pulido Polanco",24.929.323,7,sra.9093@marmol.ceele,srgapupo,ZovMmKKnTM5E4dB,"+56 2 8998 3571",6875,72094,"Salida con Amigos",537646,2025-06-03,592000,2,"Mail Invalido!"
"Agustín Velásquez Corral",1991762,2,agveco@@outluc.com,agveco,tBPIg5XeZG,+56-2-2973-6158,820,69284,Vacaciones,537650,2025-05-20,1309000,7,"Mail Invalido!"
"Sta. Gilberto Colón Pedroza",6201248,0,Sta.pedroza@wass.ceele,stgicope,Qob59cR3X7Xv13x1,"+56 9 8206 7568",1630,70302,Vacaciones,537676,2025-01-12,508000,4,"Mail Invalido!"
"Lola Espinosa Solís",5378220,5,loesso@wass.ceele,Lolasolís,MDVW7kfTZxKt0,,,66490,Vacaciones,,,-518000,,"Campo vacio"
"Sr. Andrés Espinoza Ortega",9634053,2,Sr.ortega@tourket.ceele,Sr.ortega,3q3deDv1rOLVW2,"+56 9 4903 4919",7768,65941,Vacaciones,537716,2025/01/08,390000,3,"Mail Invalido!"
"Lilia Arellano Vásquez",20800182,5,LiliavOesquez@tourket.ceele,lilia5366,TUEx5h7XKt,"+56 9 1227 2718",2889,65940,"Salida con Familia",537718,2025-07-14,876000,6,"Mail Invalido!"
"Ana Luisa Collazo Urías",25950399,,ana4463@wass.com,anlucour,v5uvjOSV6Ya,"+56 2 8071 2099",,,,537725,,-99000,1,"Campo vacio"
"Ana María Ponce Benavides",4975710,,Anabenavides@edubus.cal,anmapobe,,+56-9-4365-2071,7703,64261,Vacaciones,537802,,,,"Campo vacio"
"Eloisa Arriaga Guajardo",29.549.611,8,Eloisaguajardo@@tourket.com,elargu,fYm2HRY1Yg6rwBtu,"+56 2 4608 0138",1449,64265,"Salida con Familia",537809,2025-06-25,360000,5,"Mail Invalido!"
"Cristian Carranza Cotto",5557505,3,crcaco@@viajesanma.com,cristian1946,5Jo9az0uxi6,"+56 2 1170 4507",5009,62454,"Salida con Familia",537831,2025-08-26,693000,9,"Mail Invalido!"
"Gabriel Garay Camacho",23758930,0,,Gabrielcamacho,,,8549,68224,,537832,,402000,6,"Campo vacio"
"Salvador Sevilla Burgos",2775821,5,Salvadorburgos@@wass.com,sasebu,dXg2cpnJJXB1,"+56 2 0601 5656",3541,70437,"Cena de Trabajo",537840,2025-09-29,2094000,6,"Mail Invalido!"
"Salvador Sevilla Burgos",2775821,5,Salvadorburgos@wass.ceele,sasebu,dXg2cpnJJXB1,"+56 2 0601 5656",3541,70437,"Cena de Trabajo",537841,2025/08/19,672000,6,"Mail Invalido!"
"David Partida Holguín",,2,,david6957,,,4616,,"Salida con Amigos",537843,2025-01-01,1680000,10,"Campo vacio"
"David Partida Holguín",,2,dapaho@tourket.com,david6957,QOydeVdQ1xQFM,"+56 9 9143 4612",,,"Salida con Amigos",,2025-01-05,760000,,"Campo vacio"
"Sra. Mario Naranjo Rincón",27094798,0,srmanari@@edubus.cal,sra.9176,QF4MLavTqdv5,"+56 9 3913 2135",474,69938,Aniversario,537877,2025/02/15,1211000,7,"Mail Invalido!"
"Adriana Barraza Madrigal",3818526,8,adbama@viajesanma.ceele,adbama,g0x3Uvl2As4NX5,+56-2-1796-2842,6431,70798,Aniversario,537920,2025/04/30,288000,4,"Mail Invalido!"
"Sr. Vicente Treviño Castellanos",21557450,4,sr.1694@@marmol.com,srvitrca,GenoyI5rW,"+56 9 3689 8503",8041,70094,Aniversario,537936,2026-03-12,315000,3,"Mail Invalido!"
,21191475,0,,,9KOXTvN8OV0tV,"+56 2 9496 1128",,67298,"Cena de Trabajo",537948,2025-04-22,134000,,"Campo vacio"
"Carla Villanueva Irizarry",23027896,2,,carla5470,0geZlXWEZ,"+56 9 2778 8708",,,,537964,,696000,6,"Campo vacio"
"Arturo Lovato Farías",659685,1,arlofa@viajesanma.ceele,arturo3389,1C6SnocHR4cOOPL,"+56 2 9557 8291",5476,71563,"Salida con Familia",537969,2025-03-25,-1895000,5,"Mail Invalido!"
"Josefina Arreola Solano",29852349,3,Josefinasolano@@marmol.com,joarso,FNVN9xo1wlrAd7sD,"+56 2 2478 1716",8702,68853,Vacaciones,537973,2025-03-18,635000,5,"Mail Invalido!"
"Graciela Vélez Rico",1924277,3,grvOori@@marmol.com,grvéri,bIZFeOrWj0Y9hNLd,+56-2-8193-8956,506,68834,"Salida con Familia",537982,2025/12/26,555000,3,"Mail Invalido!"
,,5,Josefinavela@viajesanma.com,josefina3982,6uvigNNp2NV94m5L,"+56 2 4362 9567",7774,,,538014,2025-06-26,1360000,,"Campo vacio"
"Sta. Patricia Lerma Franco",12.528.849,9,sta.2249@@wass.com,stpalefr,FjG27PIvDnDfF,"+56 9 1068 2097",282,68149,"Cena de Trabajo",538022,2025-04-13,270000,5,"Mail Invalido!"
,20740443,,Cristobalarce@edubus.cal,crsoar,4zCXbeaOcT,,9729,,,538038,2026-05-24,644000,7,"Campo vacio"
"Sr. Diana Blanco Zayas",2109380,7,Sr.zayas@wass.ceele,sr.7654,A80tZDUWiamWyw,"+56 9 7394 5176",3713,67393,Vacaciones,538055,2025-04-23,1512000,8,"Mail Invalido!"
"Ramona Lucio Tirado",4509198,8,raluti@@marmol.com,raluti,rq3PACs8ROR9Uaf,"+56 2 1687 1432",3098,70045,Aniversario,538056,2025/03/23,136000,1,"Mail Invalido!"
,4509198,8,raluti@marmol.ceele,raluti,rq3PACs8ROR9Uaf,"+56 2 1687 1432",,,Aniversario,538063,2025/02/07,,,"Mail Invalido!"
"Dorotea Méndez Hernández",14348256,1,DoroteahernOendez@tourket.ceele,Doroteahernández,bUU1OWx1dd8k,+56-9-9926-2062,1764,69244,"Salida con Amigos",538103,2026-02-26,1053000,9,"Mail Invalido!"
"Dorotea Méndez Hernández",14348256,1,DoroteahernOendez@tourket.ceele,Doroteahernández,bUU1OWx1dd8k,"+56 9 9926 2062",1764,69244,"Salida con Amigos",538107,2026/02/08,-540000,9,"Mail Invalido!"
"Lucas Vázquez Alvarado",17.124.741,1,luvOeal@marmol.ceele,Lucasalvarado,8JOb1LsUo6spraCU,"+56 9 4846 8127",5608,64849,Aniversario,538131,2025/01/05,1040000,8,"Mail Invalido!"
"Sra. Patricia Patiño Candelaria",25736418,6,srpapaca@marmol.ceele,Sra.candelaria,pXyjF4BSIH3BsycG,"+56 2 9590 9475",8070,71225,Vacaciones,538137,2025-08-02,1323000,9,"Mail Invalido!"
"Sra. Patricia Patiño Candelaria",25736418,,,Sra.candelaria,pXyjF4BSIH3BsycG,"+56 2 9590 9475",,71225,,538142,2026-01-12,2124000,,"Campo vacio"
,29584517,1,elbeso@wass.com,,9fyaN1GQnCuH,,6736,70474,Vacaciones,,,672000,4,"Campo vacio"
